property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,noOfFloor,facing,agePossession,area,has_builtup_area,locality,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_plot,park_facing,freehold,newly_renovated,rental_income,fully_furnished
house,independent,14.25,60176,12,12,3+,4,Na,New Property,2368.0,0,Sector 40 Gurgaon,0,0,1,0,0,2,24,4.0,4.0,4.0,4.0,4.0,49,4,3,9,1,0,0,0,0,0,0,0
house,independent,7.5,24363,4,4,2,2,East,Old Property,3078.0,0,Sector 23 Gurgaon,0,0,0,0,0,0,4,4.0,5.0,5.0,4.0,4.5,27,2,1,3,1,1,0,0,1,0,0,0
house,international city by sobha phase 1,8.25,33914,4,4,3+,2,North-East,New Property,2433.0,0,Sector 109 Gurgaon,0,1,0,0,0,0,35,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,1,0,0,0,0,0,0
house,international city by sobha phase 2,8.475000000000001,15684,4,4,3+,2,North-East,New Property,5404.0,0,Sector 109 Gurgaon,0,1,0,0,1,2,33,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,1,0,0,0,0,0,0
house,emaar mgf marbella,13.2,54992,4,4,3+,3,South-East,Relatively New,2400.0,1,Sector 66 Gurgaon,0,1,1,1,0,0,65,3.0,4.0,4.0,4.0,3.75,14,1,1,0,1,0,0,0,0,0,0,0
house,independent,4.875,21670,3,3,2,2,South-East,Old Property,2250.0,0,Sector 4 Gurgaon,0,0,0,0,0,0,10,5.0,5.0,5.0,5.0,5.0,49,1,12,5,0,0,0,0,0,0,0,0
house,independent,7.5,15147,3,3,2,1,North-East,Old Property,4951.0,0,Sector 4 Gurgaon,0,0,0,0,0,0,10,5.0,5.0,5.0,5.0,5.0,49,1,12,5,0,0,0,0,0,0,0,0
house,independent,15.675,58018,4,5,2,3,North,Moderately Old,2702.0,1,Nirvana Country,1,1,0,1,0,0,69,5.0,5.0,5.0,5.0,5.0,46,2,5,7,0,0,0,1,0,0,0,0
house,vipul tatvam villa,29.25,33343,5,6,3,2,North,Moderately Old,8772.0,0,Sector 48 Gurgaon,1,1,1,1,0,2,49,4.0,4.0,5.0,4.0,4.25,15,3,0,3,0,0,0,0,0,0,0,0
house,independent,11.25,34723,5,5,3+,2,East,Relatively New,3240.0,0,Sector 82 Gurgaon,0,1,0,1,0,2,60,4.0,4.0,4.0,4.0,4.0,12,0,0,0,0,0,0,1,0,0,0,0
house,independent,1.005,12790,3,2,1,1,South,Moderately Old,786.0,0,Laxman Vihar Phase 2,0,0,0,1,1,0,9,4.0,4.0,5.0,4.0,4.25,49,1,14,5,0,0,0,0,0,0,0,0
house,international city by sobha phase 1,8.625,320516,4,4,2,3,South-East,Relatively New,269.0,1,Sector 109 Gurgaon,0,1,0,0,0,0,76,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 1,8.55,15823,4,5,3+,3,East,Relatively New,5404.0,0,Sector 109 Gurgaon,1,1,1,1,0,0,76,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,1,0,0,0,0,0,0
house,independent,4.800000000000001,20270,3,3,2,1,East,Old Property,2368.0,0,Sector 9 Gurgaon,0,0,0,0,0,2,20,4.0,4.0,4.0,4.0,4.0,24,0,9,4,0,0,0,0,0,0,0,0
house,independent,17.25,63094,12,13,3+,4,West,Relatively New,2734.0,0,Sector 56 Gurgaon,1,1,0,1,0,2,33,4.0,5.0,5.0,4.0,4.5,47,1,6,14,3,1,0,0,1,0,0,0
house,vipul tatvam villa,11.535,36082,4,5,3,2,North-West,Moderately Old,3197.0,0,Sector 48 Gurgaon,1,1,1,1,0,2,49,4.0,4.0,5.0,4.0,4.25,15,3,0,3,0,0,0,0,0,0,0,0
house,independent,10.5,32408,4,4,3+,1,North-East,Relatively New,3240.0,0,Sector 82 Gurgaon,1,1,0,1,0,2,33,4.0,4.0,4.0,4.0,4.0,12,0,0,0,0,0,0,1,1,0,0,0
house,independent,2.325,21600,2,2,2,1,East,Moderately Old,1076.0,0,New Colony,0,0,0,0,0,0,29,4.0,4.0,4.0,4.0,4.0,50,1,17,5,0,0,0,0,0,0,0,0
house,independent,5.775,21988,4,4,3,3,North-West,Old Property,2626.0,0,Sector 7 Gurgaon,0,0,0,0,0,0,10,4.0,4.0,4.0,4.0,4.0,50,1,15,5,0,0,0,0,0,0,0,0
house,independent,3.0,20799,2,2,2,2,North-West,Old Property,1442.0,0,Sector 7 Gurgaon,0,0,0,0,0,0,10,4.0,4.0,4.0,4.0,4.0,49,2,12,5,0,0,0,0,0,0,0,0
house,independent,4.65,20670,3,3,2,2,North-West,Old Property,2250.0,0,Sector 7 Gurgaon,0,0,0,0,0,0,10,4.0,4.0,4.0,4.0,4.0,50,1,15,5,0,0,0,0,0,0,0,0
house,independent,3.375,23399,3,3,2,2,North-West,Old Property,1442.0,0,Sector 7 Gurgaon,0,0,0,0,0,0,10,4.0,4.0,4.0,4.0,4.0,50,1,16,5,0,0,0,0,0,0,0,0
house,independent,10.5,43744,4,4,2,3,North-East,Old Property,2400.0,1,Nirvana Country,0,1,0,0,0,0,62,5.0,5.0,5.0,5.0,5.0,44,3,2,7,0,0,0,0,0,0,0,0
house,vipul tatvam villa,12.75,31842,4,5,3+,2,North,Moderately Old,4004.0,0,Sector 48 Gurgaon,1,1,0,1,1,2,33,4.0,4.0,5.0,4.0,4.25,15,3,0,3,0,1,0,0,0,0,0,0
house,emaar mgf marbella,13.05,58009,4,5,2,3,East,New Property,2250.0,1,Sector 66 Gurgaon,1,1,0,0,0,0,68,3.0,4.0,4.0,4.0,3.75,14,1,1,0,1,1,0,0,1,0,0,0
house,international city by sobha phase 2,18.75,41673,5,6,3,3,East,Relatively New,4499.0,0,Sector 109 Gurgaon,1,1,1,1,0,0,33,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 2,10.2,18877,4,5,3,2,North-West,Relatively New,5403.0,0,Sector 109 Gurgaon,0,1,0,0,0,0,33,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 2,14.25,39637,7,6,3,3,West,Relatively New,3595.0,0,Sector 109 Gurgaon,1,1,0,1,0,0,68,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 2,10.5,19432,5,6,2,2,West,Relatively New,5403.0,0,Sector 109 Gurgaon,0,1,0,0,0,0,76,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 2,9.3,38230,5,5,2,2,South-West,Relatively New,2433.0,0,Sector 109 Gurgaon,0,1,0,0,0,0,61,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,0,0,0,0,0,0,0
house,huda sector-56 gurgaon,5.4,37161,5,5,3+,3,North-East,Moderately Old,1453.0,0,Sector 56 Gurgaon,0,0,0,0,1,0,23,4.0,5.0,5.0,4.0,4.5,48,0,4,6,3,0,0,0,0,0,0,0
house,sector-17c,4.574999999999999,26399,5,5,2,2,North,Old Property,1733.0,0,Sector 17C Gurgaon,0,0,1,0,0,2,17,4.0,4.0,5.0,4.0,4.25,49,0,5,12,1,0,0,0,0,0,0,0
house,international city by sobha phase 1,8.850000000000001,36380,4,5,2,2,East,Relatively New,2433.0,0,Sector 109 Gurgaon,0,1,0,0,0,2,55,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 1,8.774999999999999,39574,4,5,3+,2,East,Relatively New,2217.0,0,Sector 109 Gurgaon,0,1,0,0,0,2,30,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,0,0,0,0,0,0,0
house,bptp visionnaire,6.0,10008,4,4,3+,2,North-East,Relatively New,5995.0,0,Sector 70A Gurgaon,0,1,0,0,0,0,76,5.0,4.0,4.0,4.0,4.25,15,3,1,5,0,0,0,0,0,0,0,0
