property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,builtup_area_sqft,carpet_area_sqft,Super_Built_up_area,has_super_builtup,has_builtup_area,has_carpet_area,locality,study room,servant room,store room,pooja room,others,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_property,park_facing,freehold,rental_income,fully_furnished,newly_renovated
flat,shapoorji pallonji joyville gurugram,0.95,10383.0,915.0,2,2,2,14.0,Unknown,1 to 5 Year Old,915.039139,675.0,958.1826173201728,0,1,1,Sector 102 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
flat,ramsons kshitij3.7 â˜…,0.4,5839.0,685.0,3,2,2,6.0,Unknown,1 to 5 Year Old,716.9018242969155,685.014596,742.2034887077897,0,0,1,Sector 95 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
flat,gls avenue 51,0.45,6000.0,750.0,3,3,1,10.0,North-East,1 to 5 Year Old,770.4497254141949,750.028552,803.2410685330284,0,0,1,Sector 92 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,4,0,1,0,0,0,0,0,0,0,0,0
flat,breeze global heights,0.4,6421.0,623.0,2,2,2,4.0,Unknown,1 to 5 Year Old,623.014532,599.0,683.9830279514081,0,1,1,Sector 33 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,48,1,19,2,0,0,0,0,0,0,0,0
flat,breez global heights4.2 â˜…,0.4,6694.0,598.0,2,2,2,7.0,Unknown,1 to 5 Year Old,645.2300181860955,597.53,950.021814,1,0,1,Sohna,0,0,0,0,0,10,5.0,5.0,5.0,5.0,5.0,10,1,1,0,0,0,0,0,0,0,0,0
flat,mvn athens3.7 â˜…,0.24,7056.0,340.0,1,1,1,12.0,West,1 to 5 Year Old,432.686041443664,340.13924000000003,418.2347957892148,0,0,1,Sohna,0,0,0,0,0,10,5.0,5.0,5.0,5.0,5.0,10,0,0,5,0,0,0,0,0,0,1,0
flat,signature the roselia3.6 â˜…,0.45,7908.0,569.0,2,2,2,2.0,East,0 to 1 Year Old,621.3394161491556,568.979754,633.274884711979,0,0,1,Sector 95A Gurgaon,0,0,0,0,0,5,5.0,5.0,5.0,5.0,5.0,12,0,0,0,0,0,0,0,0,0,0,0
flat,silverglades the melia,0.75,5555.0,1350.0,2,2,2,4.0,Unknown,5 to 10 Year Old,1350.008338,1168.6623261354666,1366.664882304463,0,1,0,Sohna,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,8,1,1,0,0,0,0,0,0,0,0,0
flat,signature global orchard avenue3.6 â˜…,0.4,7359.0,544.0,2,2,2,11.0,Unknown,0 to 1 Year Old,600.7440695655866,543.57695,609.7988924715025,0,0,1,Sector 93 Gurgaon,0,0,0,0,0,6,5.0,5.0,5.0,5.0,5.0,8,2,0,0,0,1,0,0,0,0,0,0
flat,smart world gems,0.95,8600.0,1105.0,2,2,2,4.0,Unknown,Under Construction,1062.9036469008738,1102.976833,1136.600158347794,0,0,1,Sector 89 Gurgaon,1,1,0,0,0,9,5.0,5.0,5.0,5.0,5.0,14,1,1,0,1,0,0,0,0,0,0,0
